site,dec_tag,detected,reader,antenna
XAD,989.001039945326,17/04/2023 17:56,1,4
XAD,989.001039945326,17/04/2023 17:55,1,4
XAD,989.001039945326,17/04/2023 17:54,1,4
XAD,989.001039945326,17/04/2023 17:53,1,4
XAD,989.001039945326,17/04/2023 17:52,1,4
XAD,989.001039945326,17/04/2023 17:51,1,4
XAD,989.001039945326,17/04/2023 17:50,1,4
XAD,989.001039945326,17/04/2023 17:49,1,4
XAD,989.001039945326,17/04/2023 17:48,1,4
XAD,989.001039945326,17/04/2023 17:47,1,4
XAD,989.001039945326,17/04/2023 17:46,1,4
XAD,989.001039945326,17/04/2023 17:45,1,4
XAD,989.001039945326,17/04/2023 17:40,1,4
XAD,989.001039945326,17/04/2023 17:39,1,4
XAD,989.001039945326,17/04/2023 17:38,1,4
XAD,989.001039945326,17/04/2023 17:33,1,4
XAD,989.001039945326,17/04/2023 17:32,1,4
XAD,989.001039945326,17/04/2023 17:31,1,4
XAD,989.001039945326,17/04/2023 17:30,1,4
XAD,989.001039945326,17/04/2023 17:29,1,4
XAD,989.001039945154,17/04/2023 02:35,1,5
XAD,989.001039940975,17/04/2023 02:11,1,5
XAD,989.001039944783,16/04/2023 02:25,1,8
XAD,989.001039945221,16/04/2023 02:20,1,8
XAD,989.001039945221,16/04/2023 02:19,1,5
XAD,989.001039944554,16/04/2023 01:47,1,8
XAD,989.001039944554,16/04/2023 01:45,1,4
XAD,989.001039943380,16/04/2023 01:31,1,8
XAD,989.001039943380,16/04/2023 01:30,1,4
XAD,989.001039942259,16/04/2023 01:14,1,1
XAD,989.001039944547,16/04/2023 00:22,1,4
XAD,989.001039943822,16/04/2023 00:12,1,2
XAD,989.001039945229,15/04/2023 23:32,1,2
XAD,989.001039944546,15/04/2023 23:32,1,7
XAD,989.001039944480,15/04/2023 23:32,1,8
XAD,989.001039944480,15/04/2023 23:31,1,1
XAD,989.001039944546,15/04/2023 23:31,1,4
XAD,989.001039944785,15/04/2023 23:13,1,8
XAD,989.001039943534,15/04/2023 22:52,1,4
XAD,989.001039944189,15/04/2023 22:39,1,1
XAD,989.001039942170,15/04/2023 22:33,1,8
XAD,989.001039942170,15/04/2023 22:32,1,4
XAD,989.001039944644,15/04/2023 22:14,1,8
XAD,989.001039943919,15/04/2023 22:04,1,3
XAD,989.001039943919,15/04/2023 22:03,1,3
XAD,989.001039943919,15/04/2023 22:02,1,3
XAD,989.001039944786,15/04/2023 21:49,1,4
XAD,989.001039944226,15/04/2023 21:40,1,7
XAD,989.001039944226,15/04/2023 21:39,1,4
XAD,989.001039944117,15/04/2023 21:29,1,6
XAD,989.001039943930,15/04/2023 20:58,1,6
XAD,989.001039944845,15/04/2023 03:30,1,5
XAD,989.001039945096,15/04/2023 03:14,1,7
XAD,989.001039941022,15/04/2023 02:33,1,3
XAD,989.001039944832,15/04/2023 02:28,1,2
XAD,989.001039944233,15/04/2023 02:15,1,3
XAD,989.001039944551,15/04/2023 01:42,1,7
XAD,989.001039943561,15/04/2023 01:37,1,4
XAD,989.001039942225,15/04/2023 01:18,1,3
XAD,989.001039942225,15/04/2023 01:17,1,4
XAD,989.001039943645,15/04/2023 00:47,1,3
XAD,989.001039944630,15/04/2023 00:20,1,3
XAD,989.001039944348,15/04/2023 00:17,1,4
XAD,989.001039944333,15/04/2023 00:06,1,6
XAD,989.001039944532,14/04/2023 23:13,1,3
XAD,989.001039944892,14/04/2023 23:12,1,4
XAD,989.001039944759,14/04/2023 23:04,1,4
XAD,989.001039944102,14/04/2023 22:52,1,7
XAD,989.001039944102,14/04/2023 22:52,1,2
XAD,989.001039942203,14/04/2023 22:36,1,4
XAD,989.001039945210,14/04/2023 22:21,1,7
XAD,989.001039944617,14/04/2023 22:16,1,3
XAD,989.001039944578,14/04/2023 22:12,1,3
XAD,989.001039945119,14/04/2023 22:10,1,7
XAD,989.001039945119,14/04/2023 22:09,1,2
XAD,989.001039945119,14/04/2023 22:09,1,3
XAD,989.001039943758,14/04/2023 22:03,1,4
XAD,989.001039943933,14/04/2023 21:57,1,4
XAD,989.001039943644,14/04/2023 21:48,1,5
XAD,989.001039944206,14/04/2023 21:45,1,3
XAD,989.001039943888,14/04/2023 21:44,1,4
XAD,989.001039944121,14/04/2023 21:37,1,3
XAD,989.001039944726,14/04/2023 21:36,1,7
XAD,989.001039943954,14/04/2023 21:35,1,6
XAD,989.001039944726,14/04/2023 21:35,1,5
XAD,989.001039945325,14/04/2023 21:24,1,2
XAD,989.001039943548,14/04/2023 21:20,1,5
XAD,989.001039944824,14/04/2023 21:15,1,4
XAD,989.001039945207,14/04/2023 21:05,1,3
XAD,989.001039944475,14/04/2023 21:00,1,4
XAD,989.001039944620,14/04/2023 20:58,1,7
XAD,989.001039944335,14/04/2023 20:47,1,8
XAD,989.001039944021,14/04/2023 20:17,1,5
XAD,989.001039944021,14/04/2023 20:16,1,5
XAD,989.001039944021,14/04/2023 20:15,1,5
XAD,989.001039944021,14/04/2023 20:14,1,5
XAD,989.001039944021,14/04/2023 20:13,1,5
XAD,989.001039944021,14/04/2023 20:12,1,5
XAD,989.001039942253,14/04/2023 03:56,1,4
XAD,989.001039943798,14/04/2023 03:22,1,2
XAD,989.001039942197,14/04/2023 02:20,1,8
XAD,989.001039945068,14/04/2023 02:13,1,5
XAD,989.001039943365,14/04/2023 01:31,1,8
XAD,989.001039943508,14/04/2023 01:10,1,7
XAD,989.001039945100,14/04/2023 01:01,1,7
XAD,989.001039941040,14/04/2023 00:53,1,3
XAD,989.001039944492,14/04/2023 00:17,1,6
XAD,989.001039944584,14/04/2023 00:10,1,3
XAD,989.001039943829,14/04/2023 00:01,1,8
XAD,989.001039943790,13/04/2023 23:57,1,4
XAD,989.001039944766,13/04/2023 23:09,1,7
XAD,989.001039945351,13/04/2023 22:40,1,3
XAD,989.001039945082,13/04/2023 22:35,1,3
XAD,989.001039945161,13/04/2023 22:32,1,4
XAD,989.001039943835,13/04/2023 22:31,1,6
XAD,989.001039943504,13/04/2023 22:27,1,2
XAD,989.001039943610,13/04/2023 22:25,1,4
XAD,989.001039945285,13/04/2023 22:20,1,4
XAD,989.001039944753,13/04/2023 22:07,1,5
XAD,989.001039945232,13/04/2023 21:53,1,3
XAD,989.001039944913,13/04/2023 21:15,1,8
XAD,989.001039943670,13/04/2023 21:12,1,2
XAD,989.001039945281,13/04/2023 20:46,1,4
